Id,Offset
101135,194712861
101136,194777411
101137,194831666
101138,194831903
101139,195003424
101140,195143346
101141,195261297
101142,195434570
101143,195539594
101144,195727521
101145,195954289
101146,196109089
101147,196149647
101148,196306989
101149,196443597
101150,196696663
101151,196903927
101152,197050405
101153,197229960
101154,197378034
101155,197498139
101156,197683838
101157,197898584
101158,198068815
101159,198234312
101160,198424551
101161,198605466
101162,198789056
101163,198952921
101164,199140049
101165,199328752
101166,199538162
101167,199674384
101168,199820391
101169,199959583
101170,200177188
101171,200290574
101172,200379085
101173,200472047
101174,200719672
101175,200806424
101177,200989704
101179,201126138
101180,201379469
101181,201564168
101182,201712892
101183,201883622
101184,201976775
101185,202165280
101186,202199383
101187,202279126
101188,202367852
101189,202485058
101190,202587359
101191,202709061
101192,202816494
101193,202888468
101194,203074289
101195,203158963
101196,203319909
101197,203463120
101198,203536433
101199,203641440
101200,203753869
101201,203970030
101202,204022939
101203,204231403
101204,204339636
101205,204589068
101206,204669310
101207,204887332
101208,204964939
101209,205151883
101210,205318666
101211,205346169
101212,205459154
101213,205759520
101214,206012631
101215,206207497
101216,206305252
101217,206422679
101218,206613428
101219,206652344
101220,206814668
101221,207058771
101222,207122137
101223,207241674
101224,207377188
101225,207620977
101226,207768567
101227,207926829
101228,207947338
101229,207982860
101230,208049332
101231,208100811
101232,208133267
101233,208183396
101234,208473541
101235,208715027
101236,208894970
101237,209000109
101238,209159615
101239,209249032
101240,209398108
101241,209497029
101242,209534994
101243,209562570
101244,209641171
101245,209657805
101247,209764256
101248,209941654
101249,210104503
101250,210275762
